requirement_id,role,policy_source_doc,source_section,requirement_text,mandatory,priority,due_stage,competency_area,related_task,related_assessment_topic,case_type,prerequisite_requirement_id
6e70e467-1bb3-4b48-af4a-2cc44daf0920,Sales Executive,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
b66031b3-1296-426c-847e-6fc776ff31eb,Sales Executive,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
ff46b732-2563-4802-bdd8-eee8d3003f5e,Sales Executive,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
fe328d0e-5058-436b-a9f2-524b426783fa,Customer Support Executive,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
94e32076-59cc-48f1-85bd-4ad7b766b4db,Customer Support Executive,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
6ba49673-f43e-4982-b12e-7b71cd42f611,Customer Support Executive,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
2ee1477a-edaa-4d03-98aa-b82a6d89b533,HR Executive,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
75a87636-9f17-4aae-ad88-7785afdba8f7,HR Executive,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
ca189d80-e202-43db-9d2a-54259eea9a21,HR Executive,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
18928805-9f53-4e41-a42e-606ddd528c67,Finance Associate,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
c07c31ec-27e7-46f7-a740-92e303d8218f,Finance Associate,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
d2f0fa64-66d4-4039-bd1d-6e9ec22b429f,Finance Associate,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
d78115a8-5350-4c69-a596-d736cae698dd,Operations Coordinator,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
adfc1095-6f17-4a8f-a2c2-2abeac031a4b,Operations Coordinator,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
9c008585-ef84-4c7a-88ae-e5988f208f0e,Operations Coordinator,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
2d649d70-a13e-436f-8c66-df65b90ff26a,Marketing Executive,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
c53acdb3-053c-48a2-87ed-b6713ecea7d8,Marketing Executive,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
c4e92e57-a3c2-4413-8839-a57ac04ca423,Marketing Executive,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
b63bc439-9f94-4287-b9ba-e9112515cf64,Software Support Engineer,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
