requirement_id,role,policy_requirement,process_requirement,competency,mandatory_optional,priority,source_document_id,source_section_id,assessment_requirement
REQ-001,Sales Executive,Complete company orientation on Day 1,Attend orientation session,Company awareness,Mandatory,High,DOC-001,Section 4.1,Orientation attendance confirmation
REQ-002,Sales Executive,Information security awareness training within Week 1,Complete IS training module,Information security basics,Mandatory,High,DOC-006,Section 7.1,IS awareness quiz (pass >=70%)
REQ-003,Sales Executive,Data privacy and compliance briefing within Week 1,Complete data privacy module,Data privacy awareness,Mandatory,High,DOC-008,Section 5.1,Data privacy quiz (pass >=70%)
REQ-004,Sales Executive,Code of conduct acknowledgment on Day 1,Sign code of conduct form,Professional conduct,Mandatory,High,DOC-007,Section 2.0,Signed acknowledgment form
REQ-005,Sales Executive,NexaCRM Pro product training completed within 30 days,Complete CRM training and certification,NexaCRM Pro proficiency,Mandatory,High,DOC-013,Section 4.0,NexaCRM Pro certification assessment
REQ-006,Sales Executive,Sales process and pipeline management training (Week 1-2),Complete pipeline training,Sales pipeline management,Mandatory,High,DOC-009,Section 2.0,Pipeline management quiz
REQ-007,Sales Executive,Proposal preparation and approval process training (Week 2),Complete proposal training,Proposal writing,Mandatory,High,DOC-009,Section 4.0,Proposal preparation quiz
REQ-008,Sales Executive,Data privacy and client data handling briefing (Week 1),Complete client data handling module,Client data handling,Mandatory,High,DOC-008,Section 3.0,Client data handling assessment
REQ-009,Sales Executive,Sales KPI and reporting training (Week 2),Complete KPI training,KPI tracking,Mandatory,Medium,DOC-009,Section 6.0,KPI reporting quiz
REQ-010,Sales Executive,Role-play sales demonstration assessment passed (Week 4),Complete demo assessment,Product demonstration,Mandatory,High,DOC-013,Section 4.0,Sales demo role-play scored >=70%
REQ-011,Sales Executive,Negotiation skills training within 60 days,Complete negotiation module,Negotiation skills,Mandatory,Medium,DOC-013,Section 3.0,Negotiation skills assessment
REQ-012,Sales Executive,NexaCore product portfolio and pricing model training,Know product tiers and pricing,Product knowledge,Mandatory,High,DOC-009,Section 3.0,Product knowledge quiz
REQ-013,Sales Executive,Weekly activity report submission training,Learn report format,Reporting,Mandatory,Medium,DOC-009,Section 6.1,Submit sample weekly report
REQ-014,Sales Executive,Client onboarding handoff process training,Complete handoff form training,Process compliance,Mandatory,High,DOC-009,Section 5.0,Complete sample handoff form
REQ-015,Sales Executive,SLA and escalation awareness,Know when to escalate a deal,Escalation awareness,Optional,Low,DOC-022,Section 2.0,Escalation knowledge check
REQ-016,Customer Support Executive,Complete company orientation on Day 1,Attend orientation session,Company awareness,Mandatory,High,DOC-001,Section 4.1,Orientation attendance confirmation
REQ-017,Customer Support Executive,Information security awareness training within Week 1,Complete IS training module,Information security basics,Mandatory,High,DOC-006,Section 7.1,IS awareness quiz (pass >=70%)
REQ-018,Customer Support Executive,Data privacy and compliance briefing within Week 1,Complete data privacy module,Data privacy awareness,Mandatory,High,DOC-008,Section 5.1,Data privacy quiz (pass >=70%)
REQ-019,Customer Support Executive,Code of conduct acknowledgment on Day 1,Sign code of conduct form,Professional conduct,Mandatory,High,DOC-007,Section 2.0,Signed acknowledgment form
REQ-020,Customer Support Executive,NexaCRM Pro product and portal training (Week 1-3),Complete CRM training,NexaCRM Pro proficiency,Mandatory,High,DOC-014,Section 4.0,NexaCRM Pro product assessment
REQ-021,Customer Support Executive,Customer Support SOP and SLA training (Week 1),Complete SLA training,SLA management,Mandatory,High,DOC-010,Section 2.0,SLA quiz (pass >=70%)
REQ-022,Customer Support Executive,Ticket categorization and escalation path training (Week 1),Complete ticket training,Ticket management,Mandatory,High,DOC-010,Section 3.0,Ticket categorization assessment
REQ-023,Customer Support Executive,Communication standards training (Week 2),Complete comms training,Professional communication,Mandatory,High,DOC-010,Section 4.0,Communication standards quiz
REQ-024,Customer Support Executive,Information security and client data handling training (Week 1),Complete security training,Client data security,Mandatory,High,DOC-006,Section 4.0,Client data security assessment
REQ-025,Customer Support Executive,Knowledge base usage and contribution training (Week 2),Complete KB training,Knowledge management,Mandatory,Medium,DOC-010,Section 5.0,Create one KB article
REQ-026,Customer Support Executive,Supervised live ticket handling minimum 20 tickets (Weeks 3-4),Complete supervised tickets,Practical ticket handling,Mandatory,High,DOC-014,Section 4.0,Supervisor sign-off on 20 tickets
REQ-027,Customer Support Executive,Support KPI assessment (Week 4),Pass KPI assessment,KPI performance,Mandatory,High,DOC-014,Section 5.0,KPI assessment (pass >=70%)
REQ-028,Customer Support Executive,ITIL or service management framework training (within 60 days),Complete ITIL training,ITIL awareness,Mandatory,Medium,DOC-014,Section 3.0,ITIL foundation assessment
REQ-029,Customer Support Executive,Call recording and quality monitoring consent,Sign QA monitoring consent,Policy compliance,Mandatory,High,DOC-010,Section 4.3,Signed consent form
REQ-030,Customer Support Executive,Escalation procedure awareness (P1-P4 paths),Study escalation manual,Escalation procedures,Mandatory,High,DOC-022,Section 2.0,Escalation scenario quiz
REQ-031,HR Executive,Complete company orientation on Day 1,Attend orientation session,Company awareness,Mandatory,High,DOC-001,Section 4.1,Orientation attendance confirmation
REQ-032,HR Executive,Information security awareness training within Week 1,Complete IS training module,Information security basics,Mandatory,High,DOC-006,Section 7.1,IS awareness quiz (pass >=70%)
REQ-033,HR Executive,Data privacy and compliance briefing within Week 1,Complete data privacy module,Data privacy and PECO Act,Mandatory,High,DOC-008,Section 5.1,Data privacy quiz (pass >=70%)
REQ-034,HR Executive,Code of conduct acknowledgment on Day 1,Sign code of conduct form,Professional conduct,Mandatory,High,DOC-007,Section 2.0,Signed acknowledgment form
